epoch,Train_Loss,Train_dice_liver,Train_dice_tumor,Val_Loss,Val_dice_liver,Val_dice_tumor
1,0.5891,0.4031,0.0156,0.4818,0.5296,0.007
2,0.4641,0.6422,0.0282,0.4575,0.6069,0.0209
3,0.4494,0.6843,0.0384,0.4397,0.6285,0.0214
4,0.4157,0.7392,0.0487,0.439,0.629,0.0229
5,0.4103,0.7539,0.0491,0.4114,0.7139,0.0191
6,0.388,0.7976,0.0908,0.3973,0.7265,0.0475
7,0.4063,0.7553,0.0794,0.3923,0.7559,0.0444
8,0.3894,0.793,0.081,0.4359,0.6153,0.0241
9,0.3844,0.8012,0.0835,0.4074,0.6765,0.0504
10,0.3724,0.7997,0.1659,0.3904,0.7366,0.0542
11,0.3727,0.793,0.1557,0.4679,0.5302,0.0425
12,0.3738,0.7947,0.1605,0.4338,0.5843,0.0636
13,0.378,0.7822,0.1831,0.37,0.7546,0.1043
14,0.3572,0.8066,0.1959,0.376,0.7537,0.0851
15,0.3452,0.832,0.246,0.4006,0.6561,0.0912
16,0.3566,0.8229,0.213,0.3651,0.7327,0.1439
17,0.3355,0.8352,0.2851,0.3636,0.7046,0.1426
18,0.3232,0.8531,0.3112,0.3838,0.7308,0.085
19,0.3431,0.835,0.2826,0.3625,0.7499,0.1303
20,0.3255,0.8435,0.2807,0.3459,0.799,0.1226
21,0.3341,0.8501,0.301,0.3258,0.8139,0.171
22,0.3095,0.8563,0.3448,0.3115,0.779,0.2384
23,0.3257,0.8476,0.3148,0.3527,0.8291,0.0988
24,0.3178,0.8478,0.3234,0.341,0.7843,0.1591
25,0.3003,0.8534,0.3291,0.3385,0.805,0.1827
26,0.308,0.8457,0.3418,0.3358,0.7868,0.1697
27,0.3084,0.8688,0.3081,0.3416,0.8021,0.1502
28,0.2956,0.8754,0.3844,0.3224,0.827,0.1723
29,0.3015,0.8593,0.3794,0.3405,0.7788,0.1657
30,0.2995,0.8695,0.4076,0.3139,0.8338,0.2001
31,0.3318,0.8221,0.3133,0.3219,0.8234,0.1866
32,0.3164,0.8537,0.3565,0.3664,0.7442,0.1256
33,0.3196,0.8434,0.3045,0.374,0.7155,0.1157
34,0.3308,0.8448,0.3521,0.3248,0.8195,0.2198
35,0.3103,0.8443,0.4134,0.3494,0.7517,0.173
36,0.3262,0.853,0.2703,0.3933,0.6641,0.1099
37,0.3142,0.8413,0.3583,0.3361,0.7844,0.1667
38,0.3058,0.8481,0.3697,0.3304,0.7783,0.1847
39,0.297,0.8611,0.3621,0.3642,0.7937,0.1234
40,0.3092,0.8625,0.3554,0.3545,0.7358,0.1455
41,0.3198,0.8592,0.3081,0.3504,0.7251,0.1762
42,0.3132,0.8668,0.4005,0.3582,0.7401,0.1419
43,0.2797,0.8852,0.4326,0.3217,0.8283,0.2218
44,0.2943,0.8769,0.4227,0.3486,0.7615,0.1538
45,0.2932,0.8817,0.4109,0.316,0.8142,0.2077
46,0.3004,0.871,0.3716,0.3018,0.8191,0.218
47,0.2943,0.8907,0.4517,0.3137,0.8462,0.207
48,0.2809,0.8932,0.4956,0.3217,0.8284,0.168
49,0.2784,0.898,0.4576,0.3398,0.7617,0.1953
50,0.2802,0.8951,0.4724,0.3079,0.8111,0.2298
51,0.2957,0.8907,0.3492,0.3359,0.8324,0.2017
52,0.2804,0.8862,0.4901,0.3008,0.8743,0.1859
53,0.2912,0.8875,0.4432,0.3249,0.8104,0.1681
54,0.2791,0.8923,0.406,0.3097,0.8346,0.1898
55,0.2825,0.8934,0.4521,0.3091,0.8384,0.1916
56,0.2737,0.9029,0.4924,0.285,0.8648,0.2567
57,0.286,0.9031,0.4086,0.2934,0.8414,0.2556
58,0.265,0.9001,0.5041,0.3062,0.8616,0.2118
59,0.2737,0.9002,0.426,0.2914,0.8477,0.2518
60,0.2589,0.9128,0.5205,0.292,0.8267,0.3104
61,0.2654,0.9018,0.5009,0.2752,0.8864,0.2709
62,0.2642,0.8931,0.4696,0.2768,0.898,0.2913
63,0.2681,0.9062,0.4618,0.2932,0.8526,0.2968
64,0.2659,0.9097,0.5256,0.2994,0.8451,0.2542
65,0.2647,0.9136,0.4902,0.2971,0.8639,0.2503
66,0.2581,0.9127,0.4335,0.2947,0.8781,0.2537
67,0.2787,0.8917,0.4366,0.2821,0.8401,0.3092
68,0.2549,0.9027,0.4841,0.2893,0.8369,0.2986
69,0.2557,0.9161,0.5143,0.3008,0.8671,0.2531
70,0.2572,0.911,0.5326,0.3232,0.8111,0.216
71,0.2725,0.9001,0.4961,0.3357,0.7863,0.1608
72,0.2756,0.8959,0.4561,0.316,0.8414,0.2384
73,0.2853,0.8948,0.4957,0.318,0.832,0.1785
74,0.2784,0.889,0.5021,0.3067,0.8183,0.2352
75,0.2654,0.9117,0.4935,0.2885,0.8487,0.2956
76,0.2867,0.8988,0.4176,0.3244,0.7866,0.2103
77,0.2628,0.9027,0.4733,0.3123,0.8496,0.1802
78,0.3068,0.8527,0.3924,0.356,0.7796,0.1549
79,0.2932,0.8662,0.3445,0.2688,0.8845,0.2764
80,0.2882,0.8973,0.4152,0.2999,0.8808,0.1972
81,0.2853,0.9015,0.4531,0.2925,0.8662,0.2261
82,0.2857,0.8996,0.4399,0.2897,0.8477,0.2416
83,0.2752,0.9092,0.4866,0.305,0.8228,0.2236
84,0.2765,0.9081,0.509,0.2968,0.8829,0.2683
85,0.2699,0.8951,0.522,0.3038,0.8739,0.2154
86,0.2707,0.9029,0.4318,0.3029,0.8574,0.2564
87,0.2579,0.9058,0.5061,0.2905,0.8512,0.3052
88,0.2782,0.9037,0.4128,0.2933,0.8511,0.2581
89,0.2687,0.9062,0.4906,0.303,0.8289,0.2802
90,0.2741,0.8991,0.474,0.2982,0.8356,0.2585
91,0.277,0.9078,0.413,0.3076,0.882,0.2993
92,0.2598,0.9027,0.5422,0.2973,0.8602,0.3425
93,0.2678,0.9048,0.4722,0.2777,0.8783,0.295
94,0.2762,0.9025,0.438,0.3185,0.8548,0.1535
95,0.2643,0.9086,0.5037,0.245,0.8756,0.3857
96,0.2478,0.9183,0.5746,0.2895,0.8727,0.2695
97,0.2499,0.9153,0.5248,0.2702,0.8569,0.3108
98,0.2615,0.9171,0.502,0.2752,0.8946,0.3154
99,0.2618,0.9163,0.5462,0.2741,0.8569,0.3848
100,0.2628,0.9179,0.4899,0.2902,0.8802,0.2368
101,0.2672,0.9133,0.4775,0.3087,0.8318,0.2077
102,0.2533,0.9137,0.539,0.3145,0.8445,0.3178
103,0.2467,0.9146,0.5279,0.3223,0.8397,0.2658
104,0.2547,0.917,0.4879,0.2872,0.832,0.3292
105,0.252,0.912,0.5725,0.2922,0.8341,0.2337
106,0.2531,0.9211,0.5367,0.2949,0.8491,0.3102
107,0.2398,0.9172,0.5445,0.2737,0.8777,0.3004
108,0.2469,0.9209,0.5323,0.2992,0.8798,0.278
109,0.2613,0.9072,0.5422,0.3875,0.6127,0.1659
110,0.276,0.8928,0.4418,0.3037,0.835,0.2805
111,0.2568,0.9087,0.4655,0.2664,0.8953,0.4067
112,0.2635,0.9106,0.5165,0.2897,0.8608,0.3809
113,0.2422,0.9105,0.5287,0.2877,0.8755,0.2903
114,0.246,0.9182,0.5994,0.3571,0.7335,0.1813
115,0.2565,0.895,0.584,0.2725,0.8522,0.2823
116,0.242,0.913,0.5903,0.2995,0.8547,0.271
117,0.2657,0.9203,0.5325,0.2758,0.8872,0.3095
118,0.2405,0.9215,0.604,0.2661,0.9038,0.3059
119,0.2332,0.9294,0.5592,0.262,0.8877,0.4064
120,0.2378,0.928,0.5228,0.2528,0.8843,0.3385
121,0.2323,0.9248,0.6146,0.2624,0.8901,0.3232
122,0.2463,0.9276,0.5645,0.2638,0.9023,0.3172
123,0.2416,0.9275,0.5489,0.3103,0.8895,0.3186
124,0.2364,0.9344,0.6006,0.2922,0.89,0.3804
125,0.2257,0.9366,0.5915,0.299,0.8061,0.3091
126,0.2262,0.9273,0.5907,0.2922,0.9137,0.2789
127,0.2241,0.9329,0.6112,0.2895,0.869,0.2707
128,0.2428,0.9252,0.6274,0.2742,0.8959,0.2971
129,0.2455,0.923,0.543,0.2975,0.8973,0.2189
130,0.242,0.9246,0.5327,0.2718,0.8945,0.3178
131,0.2305,0.9255,0.6274,0.2566,0.894,0.3452
132,0.2354,0.9291,0.5745,0.2675,0.8962,0.2987
133,0.227,0.9296,0.6214,0.3002,0.8207,0.2971
134,0.2302,0.9259,0.6165,0.2689,0.8908,0.2905
135,0.2305,0.9309,0.6186,0.2806,0.8825,0.2532
136,0.2416,0.9249,0.6541,0.2762,0.9009,0.359
137,0.2327,0.9372,0.6218,0.2831,0.8864,0.3137
138,0.2215,0.9326,0.6412,0.2814,0.8637,0.3933
139,0.2324,0.9358,0.6421,0.3006,0.8942,0.222
140,0.2202,0.9361,0.6523,0.2643,0.8997,0.3805
141,0.2426,0.9288,0.6052,0.2668,0.8434,0.4135
142,0.2338,0.9385,0.5822,0.2717,0.8675,0.4169
143,0.2307,0.927,0.6383,0.2873,0.893,0.3477
144,0.2454,0.9263,0.5832,0.2801,0.9134,0.3761
145,0.2206,0.9345,0.6792,0.2888,0.8852,0.329
146,0.2504,0.9251,0.5867,0.2705,0.9002,0.3712
147,0.2409,0.9344,0.5562,0.2714,0.8945,0.298
148,0.2199,0.9331,0.6481,0.2559,0.913,0.4062
149,0.2184,0.9375,0.7184,0.257,0.9025,0.3802
150,0.2144,0.9343,0.6318,0.2656,0.901,0.3325
151,0.2592,0.9107,0.5458,0.2719,0.863,0.3776
152,0.2729,0.8985,0.4819,0.2926,0.8902,0.3169
153,0.2667,0.9087,0.4527,0.3083,0.8406,0.1999
154,0.255,0.9107,0.4888,0.3034,0.8363,0.3779
155,0.2577,0.8987,0.5151,0.267,0.8817,0.334
156,0.2599,0.9188,0.4666,0.2789,0.8795,0.2559
157,0.2445,0.918,0.4817,0.2565,0.8528,0.3399
158,0.2401,0.9158,0.6264,0.2798,0.8642,0.2589
159,0.2497,0.9198,0.5906,0.2785,0.9038,0.3522
160,0.2562,0.9116,0.4802,0.269,0.8989,0.3112
161,0.2562,0.9221,0.5687,0.3088,0.8454,0.1935
162,0.2617,0.9076,0.5085,0.2753,0.9158,0.4414
163,0.247,0.9161,0.5388,0.2695,0.9142,0.3899
164,0.2653,0.9171,0.5208,0.2746,0.9009,0.2822
165,0.2531,0.9121,0.5594,0.286,0.8815,0.2215
166,0.2511,0.9215,0.5071,0.2618,0.9079,0.3086
167,0.2575,0.9156,0.5255,0.2736,0.8659,0.2831
168,0.2442,0.9176,0.5772,0.3074,0.8361,0.2464
169,0.2334,0.9195,0.6152,0.2593,0.894,0.4112
170,0.2318,0.9278,0.5293,0.2806,0.8941,0.2839
171,0.2658,0.9081,0.4895,0.277,0.8993,0.3031
172,0.2499,0.9192,0.5839,0.2618,0.9121,0.2912
173,0.2387,0.926,0.5768,0.2808,0.8685,0.2662
174,0.2384,0.9207,0.6375,0.2631,0.8973,0.3034
175,0.2503,0.9252,0.5515,0.2694,0.8927,0.3934
176,0.2452,0.9237,0.5429,0.2758,0.8761,0.4312
177,0.2513,0.918,0.5577,0.2986,0.8363,0.335
178,0.2254,0.9247,0.5917,0.2587,0.8457,0.3718
179,0.2567,0.9,0.5434,0.2861,0.8652,0.2349
180,0.2487,0.9204,0.5974,0.2781,0.8821,0.2523
181,0.2556,0.9206,0.5009,0.2876,0.8811,0.3031
182,0.2276,0.9246,0.5948,0.2703,0.8705,0.3252
183,0.227,0.9298,0.5913,0.2571,0.9076,0.3553
184,0.2401,0.9313,0.6164,0.2641,0.9003,0.3096
185,0.2492,0.9194,0.5137,0.2822,0.8549,0.2522
186,0.2214,0.9296,0.5493,0.2815,0.8769,0.3504
187,0.2359,0.9333,0.5778,0.2799,0.91,0.2395
188,0.2516,0.912,0.5724,0.2758,0.8929,0.4455
189,0.2402,0.921,0.5398,0.258,0.9025,0.28
190,0.2381,0.9351,0.5677,0.2618,0.8955,0.3679
191,0.2276,0.9332,0.6209,0.2631,0.8767,0.3533
192,0.2265,0.9314,0.6095,0.2495,0.8971,0.3157
193,0.221,0.9257,0.6095,0.251,0.9,0.3281
194,0.2366,0.9314,0.5932,0.2877,0.8895,0.4669
195,0.2532,0.9328,0.5474,0.2762,0.851,0.3267
196,0.2475,0.9217,0.5222,0.29,0.9035,0.3653
197,0.2341,0.92,0.581,0.2897,0.8492,0.2967
198,0.2489,0.9095,0.5803,0.2594,0.8908,0.3229
199,0.2488,0.9192,0.5391,0.3155,0.8518,0.3488
200,0.2372,0.9204,0.6075,0.2642,0.9085,0.5939
201,0.2388,0.9282,0.5444,0.2631,0.8925,0.5667
202,0.2505,0.928,0.5985,0.2699,0.8891,0.4235
203,0.2238,0.9284,0.6089,0.227,0.9027,0.4125
204,0.2276,0.9274,0.5772,0.2592,0.9056,0.3686
205,0.2255,0.9291,0.5984,0.2604,0.9079,0.3202
206,0.2361,0.932,0.6117,0.2362,0.9078,0.4515
207,0.2232,0.9336,0.6016,0.2514,0.8922,0.5228
208,0.2158,0.9354,0.6584,0.2784,0.8696,0.3556
209,0.2308,0.9312,0.5617,0.303,0.8672,0.3741
210,0.2187,0.9301,0.6422,0.274,0.851,0.4191
211,0.2346,0.9256,0.6285,0.2636,0.8661,0.3908
212,0.2194,0.9332,0.6765,0.2579,0.8773,0.3789
213,0.253,0.9108,0.5871,0.2733,0.8844,0.3589
214,0.2186,0.9336,0.6739,0.2341,0.9205,0.5092
215,0.2274,0.9352,0.6339,0.2696,0.8957,0.4496
216,0.224,0.9211,0.6307,0.3078,0.7685,0.2916
